TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2,flux_n,flux_n-slope-median,flux_n-slope,flux_n-median,flux_mag
3007.42065,0.00337,141849,62957.934,7.501,3260.553,1.26,67291.828,7.9460000000000015,0,224.91595,0.000101,213.84686,6.37e-05,224.9075,0.000161,214.02746,0.00014199999999999998,-0.0362,-0.0796,0.2672312856449457,-0.0889743070129203,6.8678730298649695,-0.04235866637409824,4.827962326185372
3007.441081,0.00337,141850,62828.328,7.495,3263.33,1.25,67222.891,7.94,0,224.87512,9.59e-05,213.8486,6.42e-05,224.88175,0.000162,214.02492,0.000143,-0.0655,-0.0834,0.26512393006698787,-0.09103682093845578,6.865810515939434,-0.04446602195205607,4.827517185883365
3007.461513,0.00337,141851,62979.086,7.5,3259.33,1.26,67438.648,7.945,0,224.82685,9.43e-05,213.84761,6.36e-05,224.86069,0.000162,214.02108,0.00014199999999999998,-0.0941,-0.0922,0.27171946972542216,-0.08439643743281255,6.872450899445077,-0.03787048229362178,4.828908855032682
3007.481945,0.00336,141852,63334.906,7.517,3257.344,1.26,67902.273,7.963999999999999,0,224.76175,9.4e-05,213.84653,6.24e-05,224.83687,0.000161,214.01517,0.00014199999999999998,-0.125,-0.0974,0.28589215971528015,-0.07017890359574697,6.886668433282143,-0.023697792303763787,4.831884312348763
3007.502377,0.00336,141853,63840.352,7.537000000000001,3261.728,1.26,68523.977,7.985,0,224.73399,9.17e-05,213.8468,6.21e-05,224.81397,0.00016,214.0115,0.00014,-0.153,-0.0991,0.3048972134924801,-0.05112900597134029,6.9057183309065495,-0.004692738526563822,4.835842560642454
3007.522808,0.00336,141854,64659.16,7.5710000000000015,3264.66,1.25,69486.281,8.02,0,224.71394,9.02e-05,213.8459,6.159999999999999e-05,224.79168,0.00015900000000000002,214.00697,0.000139,-0.183,-0.0934,0.3343141695841494,-0.02166720822724777,6.935180128650642,0.024724217565105455,4.841899068271771
3007.54324,0.00336,141855,65391.598,7.608,3263.041,1.25,70348.219,8.059,0,224.6993,8.950000000000001e-05,213.84458,6.11e-05,224.77313,0.000157,214.00317,0.000138,-0.205,-0.0968,0.3606630076849373,0.00472647372074686,6.961573810598637,0.051073055665893374,4.8472531069127225
3007.563672,0.00336,141856,65726.641,7.62,3263.166,1.25,70831.75,8.071,0,224.67657000000003,8.9e-05,213.84203,6.08e-05,224.74882,0.000157,213.99836,0.00013700000000000002,-0.231,-0.102,0.37544421008663287,0.01955251996965135,6.976399856847541,0.06585425806758893,4.8502279717991605
3007.584104,0.00335,141857,65223.488,7.597,3259.378,1.25,70446.867,8.047,0,224.6528,8.79e-05,213.83913,6.08e-05,224.72312,0.00015800000000000002,213.99385,0.000138,-0.262,-0.107,0.36367860762480175,0.007831761355027389,6.964679098232917,0.05408865560575782,4.847861683394736
3007.604535,0.00335,141858,64643.363,7.572999999999999,3259.841,1.26,69993.297,8.021,0,224.62909,8.499999999999999e-05,213.83699,6.05e-05,224.69787,0.00016,213.98888,0.000138,-0.293,-0.108,0.3498132919090837,-0.00598871270826784,6.950858624169622,0.04022333989003979,4.845056451224267
3007.624967,0.00335,141859,64117.863,7.548999999999999,3260.899000000001,1.25,69653.211,7.996,0,224.59887,8.25e-05,213.83445,5.99e-05,224.66725,0.000162,213.98204,0.000139,-0.327,-0.112,0.3394171022129049,-0.016340058557238635,6.940507278320651,0.029827150193860952,4.842941142115866
3007.645399,0.00335,141860,63613.363,7.525,3262.395,1.25,69254.391,7.97,0,224.58319,8.2e-05,213.83162,5.95e-05,224.64882000000003,0.00016299999999999998,213.97991,0.00014,-0.34700000000000003,-0.117,0.3272254554687586,-0.028486861454177337,6.9283604754237125,0.01763550344971465,4.840447314582891
3007.665831,0.00335,141861,63161.66,7.506,3259.761,1.25,68975.922,7.95,0,224.56238,8.09e-05,213.82787,5.9e-05,224.62481,0.000164,213.97018,0.00014099999999999998,-0.374,-0.122,0.3187128541017361,-0.03695461897399266,6.919892717903897,0.009122902082692175,4.838697514397126
3007.686263,0.00335,141862,63000.266,7.496,3261.968,1.25,68995.547,7.938,0,224.54449,8.02e-05,213.82606,5.84e-05,224.60269,0.000165,213.96564,0.00014099999999999998,-0.402,-0.126,0.31931277654131796,-0.03630985268720277,6.920537484190687,0.00972282452227402,4.838821062103424
3007.706694,0.00334,141863,62925.672,7.496,3264.161,1.26,69068.289,7.937,0,224.52922,7.929999999999999e-05,213.8245,5.8e-05,224.58602,0.000166,213.96202,0.00014099999999999998,-0.419,-0.13,0.3215364482916381,-0.034041339284459404,6.92280599759343,0.011946496272594143,4.839278697542814
3007.727126,0.00334,141864,62975.758,7.495,3270.368,1.25,69304.367,7.936,0,224.50975,7.759999999999999e-05,213.82314,5.7399999999999986e-05,224.56548,0.000166,213.95859,0.00014,-0.443,-0.133,0.32875318661986785,-0.02677975710902203,6.930067579768868,0.01916323460082392,4.840760601195474
3007.747558,0.00334,141865,62207.91,7.462999999999999,3268.93,1.25,68791.836,7.899,0,224.4826,7.5e-05,213.82117,5.7e-05,224.53455,0.000168,213.95431,0.00014099999999999998,-0.48,-0.13699999999999998,0.31308547462592484,-0.04240262525575833,6.9144447116221315,0.0034955226068809075,4.8375369005824425
3007.76799,0.00334,141866,61630.363,7.432,3265.408,1.25,68440.633,7.864,0,224.46159,7.25e-05,213.81739,5.68e-05,224.5084,0.000169,213.94851,0.00014199999999999998,-0.51,-0.141,0.3023494460629528,-0.053093809971522354,6.9037535269063675,-0.007240505956091159,4.835314017630251
3007.788422,0.00334,141867,61425.391,7.423999999999999,3270.863,1.25,68463.062,7.854,0,224.44467000000003,7.070000000000001e-05,213.81371,5.7e-05,224.48433,0.00017,213.94239,0.00014099999999999998,-0.535,-0.14400000000000002,0.30303508480931596,-0.05236332737795113,6.904484009499939,-0.006554867209727977,4.83545631899066
3007.808853,0.00333,141868,61672.117,7.435,3271.28,1.25,68981.914,7.864,0,224.42724,6.86e-05,213.80939,5.73e-05,224.45951,0.00017,213.93605,0.00014,-0.568,-0.149,0.31889602532507233,-0.03645754520977196,6.920389791668118,0.009306073306028395,4.838735240308355
3007.8292850000007,0.00333,141869,61330.828,7.42,3268.809,1.25,68817.945,7.848,0,224.41361,6.74e-05,213.80787,5.78e-05,224.44051,0.000171,213.93406,0.00014099999999999998,-0.589,-0.149,0.31388360838261464,-0.04142511830502027,6.9154222185728695,0.004293656363570708,4.83770169983845
3007.849717,0.00333,141870,59616.824,7.342,3272.7,1.25,67286.008,7.762,0,224.39522,6.659999999999999e-05,213.80438,5.95e-05,224.41387000000003,0.000175,213.92981,0.000143,-0.617,-0.15,0.2670533723405706,-0.08821051049985851,6.868636826378031,-0.04253657967847335,4.827924762884291
3007.870149,0.00333,141871,62427.531,7.476,3267.18,1.25,67131.289,,1048576,224.86591,9.75e-05,213.84785,6.47e-05,224.87152000000003,0.00016299999999999998,214.02315,0.000143,-0.0615,-0.0804,0.2623237213887437,-0.09289531760447822,6.863952019273412,-0.04726623063030022,4.826924986231735
3007.89058,0.00333,141872,62696.754,7.487999999999999,3268.263,1.25,66976.57,7.932,0,224.92686,0.000101,213.8506,6.43e-05,224.91194,0.000162,214.03105,0.000143,-0.0314,-0.0754,0.25759407043691684,-0.09758012690388096,6.859267209974009,-0.05199588158212709,4.825922902710929
3007.911012,0.00333,141873,62524.113,7.482,3266.272,1.26,66857.32800000001,,4,224.88147,9.75e-05,213.85045,6.45e-05,224.88773,0.000162,214.02618,0.000143,,,0.2539489264093717,-0.10118042708421893,6.855666909793671,-0.05564102560967221,4.825149015719845
3007.9314440000007,0.0033200000000000005,141874,62331.074,7.471,3266.928,1.26,66738.086,7.915,0,224.80546,9.58e-05,213.84764,6.35e-05,224.85619,0.00016299999999999998,214.01977,0.000143,-0.101,-0.0944,0.25030378238182616,-0.10478072726455512,6.852066609613335,-0.05928616963721778,4.8243737472459856
3007.951876,0.0033200000000000005,141875,62204.41,7.467,3268.946,1.25,66733.562,7.91,0,224.74068,9.37e-05,213.84835,6.32e-05,224.82049,0.000164,214.01381,0.000144,-0.145,-0.0991,0.25016548688543594,-0.10487417891373951,6.85197315796415,-0.059424465133607995,4.8243443065630185
3007.972307,0.0033200000000000005,141876,62275.531,7.47,3266.222,1.25,66943.203,7.9129999999999985,0,224.71047,9.26e-05,213.8475,6.330000000000001e-05,224.7892,0.000164,214.0081,0.000143,-0.18600000000000005,-0.0935,0.2565740647277943,-0.09842075941895878,6.858426577458931,-0.05301588729124962,4.825706488003035
3007.9927390000007,0.0033200000000000005,141877,62574.129,7.481,3271.655,1.26,67406.281,7.925,0,224.68364,9.24e-05,213.84422,6.3e-05,224.75879,0.000164,214.00226,0.000143,-0.22,-0.0993,0.27073003331258505,-0.08421994698695823,6.872627389890932,-0.038859918706458885,4.828700366513759
3008.013171,0.0033200000000000005,141878,62655.277,7.4860000000000015,3275.238,1.25,67628.883,7.93,0,224.66059,9.11e-05,213.84095,6.26e-05,224.73337,0.000164,213.99643,0.00014199999999999998,-0.247,-0.106,0.2775348198040861,-0.07737031664825089,6.879477020229639,-0.032055132214957816,4.83013221441126
3008.0336030000008,0.00331,141879,63008.09400000001,7.501,3269.409,1.25,68190.781,7.9460000000000015,0,224.63484,8.73e-05,213.83856,6.18e-05,224.70435,0.000164,213.99109,0.00014199999999999998,-0.285,-0.107,0.2947116462477015,-0.060148646357427005,6.896698690520463,-0.014878305771342415,4.8337256645177815
3008.054035,0.00331,141880,62420.31200000001,7.472,3270.813,1.25,67766.102,7.914,0,224.60483,8.45e-05,213.83788,6.14e-05,224.67587000000003,0.000166,213.98699,0.00014199999999999998,-0.317,-0.109,0.2817295080709359,-0.07308594068698593,6.883761396190904,-0.02786044394810805,4.831012505138654
3008.074466,0.00331,141881,61949.0,7.452000000000001,3272.178,1.25,67480.719,7.893,0,224.58029,8.31e-05,213.83436,6.08e-05,224.64722000000003,0.000167,213.9801,0.000143,-0.349,-0.114,0.27300555058940335,-0.08176505651609656,6.875082280361793,-0.03658440142964059,4.829179701304001
